Ref,Val,Package,PosX,PosY,Rot,Side
"R13","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.709462,-103.165015,90.000000,top
"R14","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.789462,-103.175015,90.000000,top
"R15","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",142.110000,-105.810000,-90.000000,top
"SW1","Power Switch","SW_SPDT_PCM12",142.519224,-69.750085,-90.000000,top
"SW2","RST","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",142.420000,-99.050000,90.000000,top
"U1","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",142.410220,-52.104470,90.000000,top
"U2","ATGM336H","ATGM336H",152.000000,-56.500000,90.000000,top
"U3","TPS61200DRC","Texas_S-PVSON-N10_ThermalVias",153.635000,-69.755000,-90.000000,top
"U4","ECS-327TXO-2012","Crystal_SMD_3225-4Pin_3.2x2.5mm",143.800000,-78.190000,-90.000000,top
"U5","ATSAMD21G18A-A","TQFP-48_7x7mm_P0.5mm",150.750000,-83.000000,-90.000000,top
"U6","SI4063","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias",152.500000,-92.000000,180.000000,top
"U7","Linear Step-Down","MCP1700",133.535000,-92.646687,180.000000,top
"U8","~","ECS-TXO-20CSMV4",146.825696,-95.146174,-90.000000,top
