datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T17:36:58.000000Z,APEX-1-T,42.772186279296875,-71.39649963378906,3053,0.0,1.6470588235294117,0,706.7,57.2,650,15,49,57,2025-06-21T17:37:04.970995,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615481,Horus Binary v2,,-6.32,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:37:03.588575Z,59038A0211243AB8162B4202CB8EC2ED0B310F395400003C02009B1B0000C460
2025-06-21T17:36:28.000000Z,APEX-1-T,42.77458190917969,-71.40088653564453,2852,0.0,1.6470588235294117,0,724.3,57.7,644,15,58,57,2025-06-21T17:36:34.125187,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615477,Horus Binary v2,,-7.59,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:36:33.639696Z,5903840211241C2C192B4241CD8EC2240B3A0F395400004102004B1C0000C416
2025-06-21T17:37:08.000000Z,APEX-1-T,42.77145767211914,-71.39509582519531,3123,0.0,1.6470588235294117,0,700.3,57.1,652,15,48,57,2025-06-21T17:37:15.236092,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615476,Horus Binary v2,,-8.37,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:37:13.660272Z,59038C02112508F9152B424ACA8EC2330C300F395400003B02005B1B000001BD
2025-06-21T17:36:18.000000Z,APEX-1-T,42.775489807128906,-71.4023666381836,2783,0.0,1.6666666666666667,0,730.8,57.8,642,15,58,57,2025-06-21T17:36:25.825610,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.61548,Horus Binary v2,,-3.09,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:36:23.568154Z,590382021124121A1A2B4203CE8EC2DF0A3A0F395500004202008C1C0000B555
2025-06-21T17:36:38.000000Z,APEX-1-T,42.773704528808594,-71.3992691040039,2917,0.0,1.6470588235294117,0,718.8,57.5,646,15,59,57,2025-06-21T17:36:44.424812,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615489,Horus Binary v2,,-7.47,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:36:43.617927Z,5903860211242646182B426DCC8EC2650B3B0F395400003F0200141C0000E7D9
2025-06-21T17:36:48.000000Z,APEX-1-T,42.772911071777344,-71.39791870117188,2981,0.0,1.6470588235294117,0,712.9,57.4,648,15,55,57,2025-06-21T17:36:54.704911,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615471,Horus Binary v2,,-7.56,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:36:53.607640Z,5903880211243076172B42BCCB8EC2A50B370F395400003E0200D91B00004251
2025-06-21T17:37:03.000000Z,APEX-1-T,42.771854400634766,-71.39576721191406,3090,0.0,1.6470588235294117,0,703.4,57.2,651,15,54,57,2025-06-21T17:37:09.097897,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615486,Horus Binary v2,,-8.37,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:37:08.613639Z,59038B0211250361162B42A2CA8EC2120C360F395400003C02007A1B000061F9
2025-06-21T17:36:33.000000Z,APEX-1-T,42.77409362792969,-71.40013885498047,2889,0.0,1.6470588235294117,0,721.6,57.6,645,15,60,57,2025-06-21T17:36:40.277104,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615479,Horus Binary v2,,-6.8,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:36:38.578797Z,59038502112421AC182B42DFCC8EC2490B3C0F39540000400200301C000037A7
2025-06-21T17:40:18.000000Z,APEX-1-T,42.75520324707031,-71.36927795410156,4465,0.0,1.6470588235294117,0,591.4,53.8,690,15,57,53,2025-06-21T17:40:24.356321,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615489,Horus Binary v2,,-0.24,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:23.441442Z,5903B20211281254052B4212BD8EC27111390F355400001A02001A170000E831
2025-06-21T17:40:28.000000Z,APEX-1-T,42.75421142578125,-71.36788177490234,4540,0.0,1.6470588235294117,0,585.9,53.6,692,15,57,53,2025-06-21T17:40:34.638868,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615493,Horus Binary v2,,7.37,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:33.510463Z,5903B40211281C50042B425BBC8EC2BC11390F35540000180200E3160000EB31
2025-06-21T17:40:33.000000Z,APEX-1-T,42.753662109375,-71.36724853515625,4571,0.0,1.6470588235294117,0,583.7,53.5,693,15,52,53,2025-06-21T17:40:38.770266,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615496,Horus Binary v2,,5.83,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:38.460925Z,5903B502112821C0032B4208BC8EC2DB11340F35540000170200CD160000B83C
2025-06-21T17:40:38.000000Z,APEX-1-T,42.75313186645508,-71.36665344238281,4601,0.0,1.6470588235294117,0,581.2,53.4,694,15,63,53,2025-06-21T17:40:44.891867,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615496,Horus Binary v2,,7.64,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:43.498757Z,5903B60211282635032B42BABB8EC2F9113F0F35540000160200B41600006DB4
2025-06-21T17:40:43.000000Z,APEX-1-T,42.75258255004883,-71.3658447265625,4635,0.0,1.6274509803921569,0,578.5,53.3,695,15,65,53,2025-06-21T17:40:49.025439,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.615495,Horus Binary v2,,5.44,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.615 MHz),2025-06-21T17:40:48.531568Z,5903B70211282BA5022B4250BB8EC21B12410F35530000150200991600002E1E
